"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"18","94971738769","Next","Congrats, Carole Tonner! You're our winner <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> Please PM us with your details!

GIVEAWAY TIME!

We *still* won't accept we're over halfway through summer, but we CAN help get you ahead of the game for autumn... 

For your chance to #WIN this outfit, comment below with the phrase ""Next Friday Giveaway - NEW wardrobe"" and we'll announce the winner here on Tuesday <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

T&Cs: ow.ly/KoFo308cjEY","2017-08-25T07:00:00+0000","photo","https://www.facebook.com/nextofficial/photos/a.104416018769.91653.94971738769/10155588362073770/?type=3","94971738769_10155588365073770",NA,3177,5188,570
"19","94971738769","Next","***Congrats, Philipa Pickering :) You're our winner!***

GIVEAWAY TIME!
Introducing your new dress-down Friday look!

For your chance to #WIN this outfit, comment below with the phrase ""Next Friday Giveaway - we love Fridays"" and we'll announce the winner here on Monday <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

SHOP: ow.ly/ZyIk30dYJzL 
T&Cs: ow.ly/KoFo308cjEY","2017-08-18T07:00:00+0000","photo","https://www.facebook.com/nextofficial/photos/a.104416018769.91653.94971738769/10155530837973770/?type=3","94971738769_10155530838388770",NA,2330,3296,439
"20","94971738769","Next","***Congrats, Jackie Bitton! You're our winner <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> Please PM us with your details!***

GIVEAWAY TIME!
The champ of schoolwear!

For your chance to #WIN £100 to spend on our schoolwear, comment below with the phrase ""Next Friday Giveaway - uniform champ"" and we'll announce the winner here on Monday <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

SHOP: ow.ly/7pdr30dWYIm 
T&Cs: ow.ly/KoFo308cjEY","2017-08-11T07:00:01+0000","photo","https://www.facebook.com/nextofficial/photos/a.104416018769.91653.94971738769/10155527637493770/?type=3","94971738769_10155527637898770",NA,2238,3385,468
"21","94971738769","Next","Fancying some new arm candy?

Try these must-have bags for size!

ow.ly/hvir30dWXzr","2017-08-08T11:00:00+0000","video","https://www.facebook.com/nextofficial/videos/10155527617178770/","94971738769_10155527617178770",NA,318,8,12
"22","94971738769","Next","***Congrats, Rachael Casey! You're our winner <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> Please PM us with your details***

GIVEAWAY TIME!

Think pink this wedding season!

For your chance to #WIN this look, comment below with the phrase ""Next Friday Giveaway - pretty in pink"" and we'll announce the winner here on Monday <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

Cold Shoulder Velvet Top £32
Pleated Tulle Skirt £48
ow.ly/ifxa30dTkjQ 
T&Cs: ow.ly/KoFo308cjEY","2017-08-04T07:00:01+0000","photo","https://www.facebook.com/nextofficial/photos/a.104416018769.91653.94971738769/10155520281458770/?type=3","94971738769_10155520281458770",NA,1568,2030,312
"23","94971738769","Next","***Congrats, Frances Haines! You're our winner <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> Please PM us with your details***

GIVEAWAY TIME!

Get ahead of the game and bag your kids a brand NEW school look NOW!

For your chance to #WIN £100 to spend on uniform, comment below with the phrase ""Next Friday Giveaway - school uniform"" and we'll announce the winner here on Monday <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

SHOP: ow.ly/2Mff30dM32C
T&Cs: ow.ly/KoFo308cjEY","2017-07-28T07:00:00+0000","video","https://www.facebook.com/nextofficial/videos/10155501772278770/","94971738769_10155501772278770",NA,2846,4976,737
"24","94971738769","Next","Love it, wear it, share it! 

For the chance to win £100, show us your FAVE snaps featuring Next on Insta by tagging #ShareWithNext <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

Or head here to upload: 
ow.ly/rdp630doj8m","2017-07-14T15:00:00+0000","video","https://www.facebook.com/nextofficial/videos/10155449760713770/","94971738769_10155449760713770",NA,198,14,19
"25","94971738769","Next","Overwhelmed by all our fab NEW products? 

We’ve got EVERYTHING you need to know about our homeware range over on the blog: ow.ly/oOFj30dz48X","2017-07-12T15:00:01+0000","link","http://ow.ly/oOFj30dz48X","94971738769_10155471701858770",NA,70,34,1
"26","94971738769","Next","Early bird catches the worm!
Get a head start on your little one's NEW TERM clobber! 

SHOP: ow.ly/vEHE30d0JgB","2017-07-09T09:00:00+0000","video","https://www.facebook.com/nextofficial/videos/10155418712173770/","94971738769_10155418712173770",NA,160,5,12
"27","94971738769","Next","***Congrats, Isabelle Smith! You're our winner <ed><U+00A0><U+00BD><ed><U+00B8><U+0080> Please PM us with your details!***

GIVEAWAY TIME!
Wishing your wardrobe was summer ready? Look no further! 

For your chance to #WIN this whole look, comment below with the phrase 'Next Friday Giveaway - summer wardrobe update"" and we'll announce the winner here on Monday <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

SHOP: ow.ly/qelw30cAmt1 
T&Cs: ow.ly/KoFo308cjEY","2017-06-23T07:00:00+0000","photo","https://www.facebook.com/nextofficial/photos/a.104416018769.91653.94971738769/10155370949528770/?type=3","94971738769_10155370949528770",NA,2298,2874,374
