"","x"
"23","Difficult decision as always oasis,but personally I would pick THIS cheetah print skirt-fingers and toes crossed from sunny Spain.#WINIT.<ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"24","That lice zebras #OasisxZSL #thewildestdream this would be wonderful happily liked shared thanks for the chance xx Emily Lewis Linda Will Keal Lesley Carnochan"
"25","I would love to win THAT zebra knit! I love Oasis and I'm animal-mad so your pairing with ZSL is a dream come true for me! <ed><U+00A0><U+00BD><ed><U+00B0><U+0085><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><ed><U+00A0><U+00BE><ed><U+00B6><U+008F><ed><U+00A0><U+00BE><ed><U+00B6><U+008B><ed><U+00A0><U+00BD><ed><U+00B0><U+00AF><ed><U+00A0><U+00BE><ed><U+00B6><U+0081><ed><U+00A0><U+00BD><ed><U+00B0><U+0092>"
"26","They are both stunning <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> I love THIS cheetah print skirt - it's so tropical #TheWildestDream would be to wear it on my holiday to Majorca <ed><U+00A0><U+00BC><ed><U+00BC><U+009E>"
"27","Another fab competition from #Oasis! It has got to be the Zebra Knit as it will brighten up those autumn days #OasisxZSL #thewildestdream"
"28","#oasisxZSL This cheetah print skirt love this look with a pair of converse and a tshirt for a summer day out - if it ever stops raining <U+2614><U+FE0F>"
"29","THIS
What a wonderful & generous prize. Would be fab to #win! Fingers crossed <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> Liked and shared with my lovely Mum Chaz Grant"
"30","Morven Begley you'd love the zebra!!"
"31","That  please  liked and shared I would love to be picked as your lucky winner Holly E C Hughes"
"32","THAT zebra knit , a great jumper already for early Autumn !#thewildestdream"
"33","THAT zebra knit looks super cosy for the upcoming Autumn season xxx"
"34","Love That zebra knit! Perfect for our Scottish winters <U+2744><U+FE0F>"
"35","THAT looks lovely! I would love to win! Thanks Oasis fashion xx"
"36","THAT Zebra knit <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Bring out my wild side .sooo pretty #WINIT"
"37","I prefer THAT zebra knit (or zonie as we say in my house lol) #OasisxZSL #thewildestdream"
"38","I love them both but my preference is for THAT zebra knit! Gorgeous :)"
"39","THAT Zebra knit! Absolutely adore this! Would make a lovely little addition to my animal print sweater collection!"
"40","Normally I'd go for THAT, I do love a good pair of jeans but it has to be THIS, what a fabulous skirt!!!"
"41","THAT zebra knit <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>. To be fair I'm totally in  love with the entire collection!! #oasisxZSL #win #thewildestdream"
"42","THAT Zebra knit is awesome (but why do I have a unicorn emoji but not a zebra!!?)! X"
"43","THAT! I would match my little boy with all the little newborn zebra clothes he has been bought"
"44","THAT please my little girl loves zebras maybe she would give me extra cuddles if I wore it? <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>"
"45","That please I saw this jumper in store would love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"46","THAT Zebra Knit is the perfect cosy knit for today's weather <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2602><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+00A6>"
"47","THAT zebra knit <U+2764> it's adorable, LOVE, LOVE, LOVE it! #OasisZSL #thewildestdream"
"48","This <U+2665><U+FE0F>

Liked and shared <U+2665><U+FE0F>

Epic giveaway <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

Amazing prize <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

Thank you for being so generous <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>

I'd love to be your lucky winner <ed><U+00A0><U+00BC><ed><U+00BF><U+0086>

Please count me in <ed><U+00A0><U+00BC><ed><U+00BD><U+0080> xxx"
"49","THIS!! Simply stunning piece would love to be your lucky winner."
"50","This lovey giveaway count me in please thanks fingers crossed <ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"51","THAT is super adorable!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #TheWildestDream #OasisxZSL #WildThing!!!"
"52","Ah this is hard this week love them both but would have to have THAT zebra knit it is adorable!"
"53","The Zebra knit is fabulous x
Liked and shared with pleasure x
Ali Parker"
"54","I slightly prefer THIS - Cheetah print skirt. Thank you for the amazing chance to win"
"55","This !! cheetah print skirt is gorgeous, liked and shared with all"
"56","That zebra knit <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>  #win #thewildestdream"
"57","I prefer THIS cheetah print skirt WIN IT. #OasisxZSL #thewildestdream <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>"
"58","THAT zebra knit is more me. Itd be cosy in autumn time x"
"59","THIS please! I could build lots of outfits with it - lovely :)"
"60","That, yes please would love to win xx liked and shared xx"
"61","THIS cheetah print skirt for me! Liked & shared! Fingers crossed! xxxxx"
"62","Cheetah print skirt, perfect for my sunny holidays<ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><U+2600><U+FE0F><U+2600><U+FE0F><U+2600><U+FE0F>"
"63","<ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086>
#Win #TheWildestDream #OasisxZSL
My favourite has to be THAT zebra knit! 

<ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086>"
"64","This be perfect for my holiday to Dubai in September love it THIS"
