"","x"
"5470","I am neither the age or the size for this lace mini but it would look stunning on my daughter. Have liked and shared and am keeping my fingers crossed :-)"
"5471","THIS lace mini is gorgeous and a staple for any summer wardrobe! <U+2600><U+FE0F> would love to have it in mine and to take it with me to America next month! <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> what an amazing competition you have going on! Good luck everyone <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"5472","That <ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>
Awesome Giveaway <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> Yes please count me in <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> I would love to be your lucky winner <ed><U+00A0><U+00BC><ed><U+00BE><U+0089>  I Have liked and shared<ed><U+00A0><U+00BC><ed><U+00BE><U+0088> Thank you so much for the chance. Good luck Everyone <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"5473","THIS lace mini is so pretty! Would love to win, can imagine I would have to buy the rest of the outfit to go with it too though <ed><U+00A0><U+00BD><ed><U+00B9><U+0088>"
"5474","This lace mini is gorge. Does it come in other colours? Can't wear white to someone else's wedding <ed><U+00A0><U+00BD><ed><U+00B9><U+0088>"
"5475","<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>
Win Win Win
THIS lace mini <U+2764> I just think this is absolutely gorgeous! Perfect for all those occasions and summer days out <U+2600>
<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>"
"5476","Love the lace mini<U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>wat a fantastic prize to win love the outfit shoes & coat also please please oasis let me win going to a wedding in September it would be lovely never won anything in my life liked & shared good luck everyone <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"5477","I'm way too old to wear THIS mini but it would look amazing on my daughter who has just lost all her 'post baby' weight and needs a new wardrobe!"
"5478","THIS lace mini

Beautiful dress for going out for dinner or even wearing at work!<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> I would love to win this please!! Xxx"
"5479","This please <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
What a fab giveaway <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
Liked and shared happily <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>
Thanks so much for the chance <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>fingers crossed<ed><U+00A0><U+00BE><ed><U+00B4><U+009E>
Good luck to everyone entering <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"5480","Both! Equally amazing wish I could buy everything in the shop! Some stunning pieces this season even better than last year and didnt think that was possible <ed><U+00A0><U+00BD><ed><U+00B8><U+0086>"
"5481","THIS
Would be perfect for a wedding I'm going to
I love that dress and those shoes! The jacket will look fab with some skinny jeans too"
"5482","Both gorgeous but I think I'll go with that, the Bardot top. I would be able to wear that with so many things, dresses up or down!"
"5483","Ohh WOW <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> liked and shared<U+263A><U+FE0F>Fabulous giveaway <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>
I just had to enter,  <U+2B50><U+FE0F>thank you enormously for the chance, fingers crossed <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>this"
"5484","THAT 

I would absolutely love this <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> would be a very happy treat to win <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> thanks for the fab giveaway <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> enormous luck everyone <U+2728>"
"5485","THIS lace mini is beautiful! Loving the Wimbledon inspiration - officially the start of SUMMER (fingers crossed we get some sunshine) <U+2600><U+FE0F>"
"5486","Exciitng Such lovely prize to offer sure be nice  treat I love the THIS <3  lace mini Is Beauitful    Count me in please! Have liked and shared your page -Good Luck everyone! Got to be in it to win it I would Love to be your winner Tagging Sophie Marie Cartwright Emma Jane Pearce Vicky Kenny thanks for chance :)"
"5487","THIS lace mini is perfect for summer <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> I would love to WIN IT"
"5488","THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> beautiful little outfit! Perfect for summer time <U+2600><U+FE0F><U+2600><U+FE0F>"
"5489","Ooh love This!!! Perfect for sunny lunch out with the girls! X"
"5490","THIS lace mini! Would be perfect for my holiday to Italy in a few weeks! X"
"5491","Love THIS Lace mini 

I love Lace it never dates and always looks smart and flattering 
Perfect for Wimbledon <ed><U+00A0><U+00BE><ed><U+00B5><U+0082><U+2764><U+FE0F>"
"5492","THIS lace mini! It's beeb a while since I had a skirt, I sure could use one <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"5493","Oh yes please this liked and shared thank you for the chance to win this fantastic giveaway <U+2764>"
"5494","Love the mini lace. THIS all the way. Beautiful addition to my summer wardrobe <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5495","THIS lace mini <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> so pretty for the summer I would love to #winit"
"5496","I like both but the Bardot top is the one i would wear the most."
"5497","This lace mini is so cute for the summer! Be lovely for a bbq"
"5498","Love both but That...Bardot for those warm summer evenings, dress up or down."
"5499","THIS lace mini! Would be lovely for summer!"
"5500","THAT long sleeve Bardot top is gorgeous. I can imagine getting a lot of wear out of a piece like this throughout this summer, I'd love to Win It."
"5501","THIS lace mini would be perfect for my graduation. Will soon be a full fledged adult.<ed><U+00A0><U+00BD><ed><U+00B9><U+0088>"
"5502","Would love the #that be fantastic to #winit #oasisfashion"
"5503","<ed><U+00A0><U+00BC><ed><U+00BE><U+00BE>Both gorgeous I <U+2764><U+FE0F> the lace dress and jacket they are just GAME SET AND MATCH! WIN IT<ed><U+00A0><U+00BC><ed><U+00BD><U+0093>"
"5504","<ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> <ed><U+00A0><U+00BD><ed><U+00B8><U+00BB> THAT long sleeve Bardot top is an absolute must-have for Summer - Thanks for the Giveaway Oasis Fashion <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> <ed><U+00A0><U+00BD><ed><U+00B8><U+00BB>"
"5505","THAT - I like the casual style while the floral shorts keep the look light and summery <3"
"5506","That <U+2764> long sleeve bardot 
Thanks for the chance liked and shared x"
"5507","I love THAT bardot top as it's more flattering for me.  I'm not a mini dress type of girl<ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"5508","THAT long sleeve Bardot, classic & stylish to wear on Saturday evening for my birthday celebrations  <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"5509","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
Oh wow yes please would love to win. 
Happily liked and shared <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"5510","oh wow!! been wanting a white bardot top like that for ages!! would be amazing with a pink metallic skirt i have <ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"5511","This lace mini is just gorgeous! fingers crossed again! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5512","This mini is beautiful. Love a bit of white for Wimbledon #WINIT"
"5513","Omg this lace mini dress is. Stunning I'd love to win <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5514","That. Gorgeous shorts <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> I would love to win them xx"
"5515","<U+2728>Usually tough but THIS by a mile today!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"5516","THIS!
The perfect outfit for the summer. It's gorgeous"
"5517","I love the lace mini and that jacket is gorgeous too!"
"5518","This. ."
"5519","That please :)"
"5520","This. It's stunning"
"5521","This thank you"
"5522","This <ed><U+00A0><U+00BD><ed><U+00B6><U+00A4>"
"5523","That Bardot"
"5524","I love Wimbledon :) and id like to win the lace mini"
"5525","Long sleeve Bardot looks perfect"
"5526","Both look fabulous but I'll go for that x"
"5527","That. X"
"5528","THAT long sleeve bardot"
"5529","THAT long-sleeve Bardot. Gorgeous! #WINIT"
"5530","THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5531","THIS but sooooo hard to chose !"
"5532","THIS lace mini, simply elegant x"
"5533","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5534","THIS Lace mini"
"5535","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5536","THIS! Love it x"
"5537","This lace mini please! X"
"5538","THIS <3"
"5539","That, liked and shared"
"5540","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5541","THIS lace mini  <3"
"5542","THAT long sleeve Bardot"
"5543","THIS!"
"5544","THIS lace mini! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> <ed><U+00A0><U+00BC><ed><U+00BE><U+00BE> <ed><U+00A0><U+00BC><ed><U+00BD><U+0093>"
"5545","This x"
"5546","THAT long sleeve bardot <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"5547","THIS!"
"5548","That long sleeve bardot <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"5549","THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5550","Love this lace mini!"
"5551","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"5552","THIS. Xx"
"5553","Love THIS!"
"5554","That x"
"5555","Ooh that and those shorts <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5556","<U+2764>this x"
"5557","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5558","THIS lace mini - Princess pretty"
"5559","This lace mini"
"5560","That please x"
"5561","That xx"
"5562","This <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5563","My wife would go for the Lace. outfit. It is stunning. Liked and Shared"
"5564","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5565","That <U+2764><U+FE0F>"
"5566","prefer THIS lace mini"
"5567","I love THAT top x"
"5568","That..lovely outfit"
"5569","THAT long sleeve Bardot <U+2764><U+FE0F> would love to Win it x"
"5570","#THIS"
"5571","This<ed><U+00A0><U+00BD><ed><U+00B1><U+008C> <U+2764> wimbledon"
"5572","That <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"5573","THAT!"
"5574","THIS lace mini!"
"5575","That! <ed><U+00A0><U+00BC><ed><U+00BD><U+0093>"
"5576","This lace mini <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"5577","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5578","This lace mini <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+009A>"
"5579","<3 That #WINIT"
"5580","I love THIS lace mini"
"5581","THIS lace mini <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5582","Lace mini x"
"5583","THAT Long sleeve Bardot is perfect! I love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5584","That!"
"5585","This please! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5586","THAT long sleeve bardot"
"5587","This <U+2764><U+2764><U+2764>"
"5588","Defo the lace mini looks lovely"
"5589","THAT long sleeve bardot top <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5590","Ohhhhh THIS please"
"5591","THAT long sleeved bardot is gorgeous"
"5592","This lace dress is beautiful"
"5593","This lovely dress <U+263A>"
"5594","THIS

Love the lace dress <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"5595","That bardot please!"
"5596","THIS lace mini <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5597","That please <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"5598","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5599","This lace skirt please"
"5600","Love the lace mini! <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"5601","THIS <U+2764><U+FE0F>"
"5602","This!"
"5603","That that that <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5604","Love THIS lace mini <U+2764><U+FE0F>"
"5605","Lace mini"
"5606","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+2764><U+FE0F>"
"5607","This lace mini is beautiful <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5608","This Lace Mini definately"
"5609","THAT<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5610","THIS lace mini <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> please <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"5611","THIS is gorgeous"
"5612","THAT Bardot top <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5613","THIS - it's beautiful !"
"5614","THIS! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5615","THAT <U+2764><U+FE0F>"
"5616","Gotta be THAT long sleeve bardot"
"5617","This lace mini is gorgeous"
"5618","This lace mini #winit"
"5619","THIS <U+2764><U+2764>"
"5620","This lace mini <U+2764><U+FE0F>"
"5621","THIS lace mini! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BE><U+00BE>"
"5622","Love THAT"
"5623","THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
"5624","This mini!"
"5625","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5626","THAT Bardot <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5627","This lace mini- love it!"
"5628","THIS lace mini <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5629","This #winit"
"5630","This <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"5631","Definitely THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"5632",""
"5633","THIS! So nice <U+2764>"
"5634","This. #winit"
"5635","THIS is lovely #WINIT"
"5636","Love the Long Sleeve Bardot <U+2764><U+FE0F>"
"5637","Love THAT! <3"
"5638","This lace mini"
"5639","THAT #WINIT"
"5640","This <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"5641","THIS Lace Mini please x"
"5642","#THIS #winit"
"5643","THAT long sleeve bardot #WINIT"
"5644","This is lovely"
"5645","That long sleeve Bardot please!"
"5646","THAT Long Sleeved Bardot <3"
"5647","That please x"
"5648","That top <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"5649","THIS lace mini <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5650","That <U+2764>"
"5651","That that that <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5652","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>. Liked and shared. Lyndsey Green xx"
"5653","That"
"5654","THIS <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"5655","THIS"
"5656","THAT"
"5657","This"
"5658","THAT"
"5659","This please"
"5660","That"
"5661","THIS lace mini-<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #WINIT"
"5662","THIS I love, and would look great in."
"5663","That"
"5664","That"
"5665","THIS"
"5666","That <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>"
"5667","THIS"
"5668","This lace mini <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5669","THAT"
"5670","THIS"
"5671","That! Would be perfect for a summer evening xx"
"5672","That"
"5673","This"
"5674","This"
"5675","THAT"
"5676","That"
"5677","THAT"
"5678","This"
"5679","This"
"5680","That"
"5681","THIS"
"5682","That"
"5683","This"
"5684","That"
"5685","THAT"
"5686","This"
"5687","That"
"5688","That"
"5689","This"
"5690","THAT"
"5691","That"
"5692","That"
"5693","That"
"5694","THIS"
"5695","That

oh perfect treat for this mum of 7 children who needs glamming up  <ed><U+00A0><U+00BD><ed><U+00B2><U+009D><ed><U+00A0><U+00BD><ed><U+00B2><U+009D>"
"5696","I love that long sleeved bardot top, but especially love the shorts it's paired with here.#WINIT"
"5697","That"
"5698","This"
"5699","this"
"5700","This"
"5701","That"
"5702","This"
"5703","THAT"
"5704","That ! Simply stunning piece would love to be your lucky winner."
"5705","THIS lace mini please 
Liking and sharing fingers crossed <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"5706","The lace mini for sure it's stunning. I have happily liked and shared.<ed><U+00A0><U+00BD><ed><U+00B2><U+0097> Thank you for the chance <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"5707","That! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB><ed><U+00A0><U+00BC><ed><U+00BC><U+009F><ed><U+00A0><U+00BD><ed><U+00B2><U+00AB>Fab giveaway!!!<ed><U+00A0><U+00BD><ed><U+00B2><U+00AB><ed><U+00A0><U+00BC><ed><U+00BC><U+009F><ed><U+00A0><U+00BD><ed><U+00B2><U+00AB>
Happily liked and shared with all my friends<ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
fingers tightly crossed Sarah Higgins"
"5708","The lace mini
Fantastic Prize Giveaway. 

Thank You  for the chance to win.
 Liked & Shared 
<ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"5709","Long sleeve Bardot
Liked and shared <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>
Love to win this amazing giveaway <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>
Fingers crossed <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>Julie Bishop"
"5710","That i just love me a bardot top, youve always got to show a little bit of skin x"
"5711","I love the 'that' long sleeve Bardot- gorgeous for summer <ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"5712","This looks fab.
Happily liked and shared lovely gift. X
Thanks for the chance to win. Xxx"
"5713","THAT!
<ed><U+00A0><U+00BC><ed><U+00BE><U+00BE>You cannot be serious <ed><U+00A0><U+00BC><ed><U+00BE><U+00BE>!!
Oh WOW! Amazing<ed><U+00A0><U+00BC><ed><U+00BF><U+008B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> prize thanks!
In it, hoping to win it<ed><U+00A0><U+00BE><ed><U+00B4><U+009E>
I'll dare to share<ed><U+00A0><U+00BD><ed><U+00B8><U+0087>"
"5714","This

Brilliant giveaway <ed><U+00A0><U+00BD><ed><U+00B8><U+0080> I would be thrilled to win this! Liked & shared <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Got everything crossed <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"5715","I Love This ,it's Gorgeous <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> I've Liked & shared for my Chance , Thankyou for a Great Giveaway ."
"5716","THAT long sleeve bardot. Hide my bingo wings <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #WINIT #prettyplease"
"5717","Love THAT long sleeve bardot.
Perfect for my Greek hols and summer <ed><U+00A0><U+00BC><ed><U+00BF><U+0096><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><U+2600>"
"5718","This 
Love the lace mini
Perfect for Summer holidays dressing up or down ...just fab 
<ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"5719","Love em both , I'd probably wear A if I had an important occasion and B to the beach."
"5720","THIS lace mini, perfect for my holidays in Sept :)"
"5721","THIS lace mini is gorgeous!! Amazing giveaway! Liked and shared. Good luck everyone <ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><U+263A><U+FE0F>"
"5722","That - perfect for my upcoming city break to krakow.
My husband and I are celebrating our 19th wedding anniversary <U+2764><U+FE0F>"
"5723","That please. Good luck everyone. Superb giveaway. Would love :)"
"5724","I'd love THIS Lace mini please! There's nothing better than a lace number in summer! xx"
"5725","THIS but I'd probably get it dirty before I'd even left the house Haha"
"5726","That long sleeve Bardot...do not have the legs for a mini!!"
"5727","LOVE THIS lace mini!  Its very fitting for Diner En Blanc coming up soon!!!!"
"5728","This lace mini <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> just had a peek at the sale and i shouldn't have, no funds and so many beautiful items, story of my life"
"5729","Both absolutely gorgeous but that just swings it for me"
"5730","THAT bardot top is exactly what I have been looking for! I'd be thrilled to #WINIT <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"5731","Definitely THIS for me, simple elegant and classy! Love it! <U+2764><U+FE0F>"
"5732","Difficult decision but THAT bardot is so versatile.  Id wear with ripped jeans and ballet pumps"
"5733","Oh the lace dress looks fab. It would be so nice to win!"
"5734","THIS perfect attire for all the summer weddings coming up<ed><U+00A0><U+00BD><ed><U+00B2><U+0095> Even more perfect as the bride's getaway attire <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"5735","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> perfect for my new job and our first family holiday abroad to Turkey x"
"5736","That Bardot, love being able to flash my shoulders without having to show off any other skin <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"5737","That long sleeved barbot top. I love them both, but I would use the top so much!"
"5738","Wow- this is amazing !  
Ty so much for the giveaway .
Loved, liked and shared :)"
"5739","THIS. Very light, summery and chic. Great giveaway. Thanks so much for the chance. Keeping my fingers crossed."
"5740","I love THAT long sleeve Bardot. Killing two trends with one top xx"
"5741","THIS lace mini is perfect for my holiday in August! Xx"
"5742","This lace dress! Lovely with tanned pins of the sun would come back out here <ed><U+00A0><U+00BD><ed><U+00B8><U+00A5>"
"5743","This lace mini, way more versatile for the my wardrobe"
"5744","THAT love this top was tempted to buy it so would love to win it <ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"5745","That bardot! I want it in my suitcase for my hols to Morocco!!! Pretty please!!"
"5746","I love <U+2764><U+FE0F> the both!! This would go lovely with a top I have for my daughters christening fingers crossed <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BD><ed><U+00B2><U+0090><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA>"
"5747","That I absolutely love the shorts I'd probably switch the shoes though"
"5748","<3 THIS <3 lace Mini :D It would look so Gorgeous on my Daughter Stacey Marie Young Liked and Shared x Thank you for the chance :D"
"5749","That top is gorgeous and would be perfect for my upcoming holiday - fingers crossed! X x"
"5750","'This' lace mini - would be perfect for upcoming Italy travels <ed><U+00A0><U+00BD><ed><U+00B2><U+009B>"
"5751","That I do love This but probably too short for me!"
"5752","THAT Bardot as so universal throughout the seasons timeless classic x"
"5753","THAT Bardot <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> both lovely- but the Bardot is calling out to go with my oasis Riley Jeans, flamingo bag and shoes! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> xx"
"5754","THAT long sleeve Bardot perfect cover up for me after havin a baba recently <ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"5755","This lace mini! Perfect for the holiday season!!! #winit"
"5756","Both are gorgeous! But THAT long sleeved bardot tops it for me! #WINIT"
"5757","That  - would be perfect for my holidays with my family <U+2764><U+FE0F><U+2764><U+FE0F>"
"5758","THIS lace mini is very pretty and would be lovely for a summer holiday!"
"5759","That would be perfect for a lovely sunny <U+2600><U+FE0F> holiday xx"
"5760","THAT!! 

Stunning combination would love to win this to wear on my summer holiday <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+0097><ed><U+00A0><U+00BD><ed><U+00B1><U+00A0><ed><U+00A0><U+00BC><ed><U+00BC><U+009E><ed><U+00A0><U+00BD><ed><U+00BB><U+00B3>"
"5761","I would pick that bardot. Have been wanting to try one for ages. Love the dress but doubt I'd have many chances to wear it"
"5762","Got to be the lace mini would live it for my hen do #WINIT! <U+2764>"
"5763","both are lovely :D but if I were to choose I would go for the THIS :)"
"5764","Was going to buy THAT anyway lol so <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BE><U+00BE><ed><U+00A0><U+00BC><ed><U+00BD><U+0093>"
"5765","This ! Perfect for a sunshiny day. Teamed with a wide brimmed hat!"
"5766","This, looks so smart and girlie, love the bottom lace Patten <ed><U+00A0><U+00BD><ed><U+00B2><U+009F><ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"5767","<U+2764><U+FE0F> THIS lace mini. What a lovely outfit for the summer and would look fabulous with some of my other Oasis clothing x"
"5768","Would have to be the Lace mini but I do also love the shorts"
"5769","THIS lace mini, absolutely gorgeous!!  Would be perfect for my summer hols!"
"5770","This lace mini is so cute n chick would b fab for my hols! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><U+2764>"
