"","X","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"1",1,32075534692,"Oasis Fashion","Looking for the ultimate arm candy? Tell us if you prefer THIS going out (out) clutch or THAT popping out tote and you could WIN it.","2017-02-07T08:00:10+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154876626824693/?type=3","32075534692_10154876626824693",NA,893,1258,162
"5",5,32075534692,"Oasis Fashion","Because who can resist a pretty new tee? Tell us if you preferTHIS simple tee or THAT statement tee and you could WIN IT","2017-02-03T17:00:43+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154866333934693/?type=3","32075534692_10154866333934693",NA,882,1395,138
"7",7,32075534692,"Oasis Fashion","Luxurious lace or stylish stripe? Tell us if you prefer THIS or THAT and you could WIN IT.","2017-02-02T12:30:07+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154862575689693/?type=3","32075534692_10154862575689693",NA,945,1479,139
"8",8,32075534692,"Oasis Fashion","Add some flower power to your wardrobe this season. Tell us if you prefer THIS embroidered floral shift or THAT lace floral skater and you could WIN IT.","2017-02-01T07:45:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154859057164693/?type=3","32075534692_10154859057164693",NA,1132,1637,151
"12",12,32075534692,"Oasis Fashion","Now that's one way to style our statement stripe jumper.  http://www.oasis-stores.com/gb/clothing/knitwear/bow-hem-stripe-knit/0612271901.html","2017-01-28T08:45:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154843137119693/?type=3","32075534692_10154843137119693",NA,3222,88,15
"13",13,32075534692,"Oasis Fashion","Which knit do you pick? Tell us if you prefer THIS embroidered floral knit or THAT essential striped knit and you could WIN IT.","2017-01-27T12:45:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154845200494693/?type=3","32075534692_10154845200494693",NA,897,1293,131
"15",15,32075534692,"Oasis Fashion","A mini is a MUST this season, but which one gets your vote? Tell us if you prefer THIS easy denim skirt or THAT sweet scallop skirt and you could WIN it.","2017-01-26T10:15:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154842276979693/?type=3","32075534692_10154842276979693",NA,713,989,135
"16",16,32075534692,"Oasis Fashion","Looking for a cute cover-up? You're in luck. Tell us if you prefer THIS boyfriend blazer or THAT bird print jacket and you could WIN it.","2017-01-25T15:05:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154839518539693/?type=3","32075534692_10154839518539693",NA,806,1037,137
"17",17,32075534692,"Oasis Fashion","The Pre-Spring Edit has landed and we want to know what pretty pieces you prefer. Tell us if you prefer THIS printed skater dress or THAT simple shirt dress and you could WIN IT.","2017-01-24T17:30:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154835428589693/?type=3","32075534692_10154835428589693",NA,912,1146,111
"21",21,32075534692,"Oasis Fashion","Make a stylish statement with a little help from our personal stylists. Book your FREE session here http://www.oasis-stores.com/gb/my-personal-stylist.html","2017-01-21T09:20:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154816190769693/?type=3","32075534692_10154816190769693",NA,1662,20,6
"24",24,32075534692,"Oasis Fashion","Pretty petals or stylish stripes? Tell us if you prefer THIS or THAT and you could #WINIT","2017-01-18T10:31:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154812586079693/?type=3","32075534692_10154812586079693",NA,904,1115,166
"31",31,32075534692,"Oasis Fashion","Freshly picked just for you. Tell us if you prefer these pretty petals on THIS stylish skater or THAT lace trimmed tee for a chance to #WINIT","2017-01-11T12:45:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154789804399693/?type=3","32075534692_10154789804399693",NA,984,1163,170
