"","id","likes_count","love_count","haha_count","wow_count","sad_count","angry_count"
"1","32075534692_10155457676014693",159,12,0,0,0,0
"2","32075534692_10155446622194693",34,2,0,0,0,0
"3","32075534692_10155446583009693",386,19,0,0,0,0
"4","32075534692_10155448822919693",269,15,0,0,0,0
"5","32075534692_10155446120459693",74,8,0,0,0,0
"6","32075534692_10155441524949693",883,30,0,1,0,0
"7","32075534692_10155441589284693",42,2,0,0,0,0
"8","32075534692_10155439018174693",350,18,0,0,0,0
"9","32075534692_10155422370779693",115,8,0,0,0,0
"10","32075534692_10155435352759693",32,1,0,0,0,0
"11","32075534692_10155422355099693",472,34,0,0,0,0
"12","32075534692_10155422337229693",17,1,0,0,0,0
"13","32075534692_10155422336394693",553,66,0,0,0,0
"14","32075534692_10155422319004693",1063,37,0,0,0,0
"15","32075534692_10155416532369693",34,0,0,0,0,0
"16","32075534692_10155415745974693",141,14,1,0,0,0
"17","32075534692_10155405073054693",392,31,0,0,0,0
"18","32075534692_10155405049639693",351,29,0,0,0,0
"19","32075534692_10155401272699693",96,4,0,1,0,0
"20","32075534692_10155397930069693",812,17,0,1,0,0
"21","32075534692_10155394455419693",171,11,0,0,0,0
"22","32075534692_10155391621244693",325,9,1,1,0,0
"23","32075534692_10155378967409693",192,9,0,2,0,0
"24","32075534692_10155378873609693",156,11,0,1,0,0
"25","32075534692_10155376295374693",327,20,0,0,0,0
"26","32075534692_10155373306824693",140,8,3,1,0,0
"27","32075534692_10155371785264693",1295,71,0,0,0,0
"28","32075534692_10155355605339693",135,9,0,1,0,0
"29","32075534692_10155348185644693",118,12,0,0,0,0
"30","32075534692_10155355573119693",97,3,0,0,0,0
"31","32075534692_10155348184454693",98,3,0,0,0,0
"32","32075534692_10155350762059693",182,7,1,0,0,0
"33","32075534692_10155347385299693",786,36,0,5,0,0
"34","32075534692_10155344268224693",71,0,0,1,0,0
"35","32075534692_10155340851634693",127,8,0,1,0,0
"36","32075534692_10155328327089693",87,3,0,1,0,0
"37","32075534692_10155328313379693",230,14,0,3,0,0
"38","32075534692_10155328077389693",1617,56,0,9,0,0
"39","32075534692_10155324928369693",57,6,0,0,0,0
"40","32075534692_10155319811024693",859,39,0,4,0,0
"41","32075534692_10155316363769693",74,6,0,0,0,0
"42","32075534692_10155313018114693",148,15,0,0,0,0
"43","32075534692_10155302530474693",339,9,0,1,0,0
"44","32075534692_10155302723079693",47,0,0,1,0,0
"45","32075534692_10155301931054693",58,3,0,1,0,0
"46","32075534692_10155299586999693",237,15,0,1,0,0
"47","32075534692_10155295554244693",751,22,0,1,0,0
"48","32075534692_10155284183059693",24,1,0,0,0,0
"49","32075534692_10155282232909693",43,3,0,1,0,0
"50","32075534692_10155279310624693",74,8,0,0,0,0
"51","32075534692_10155276428889693",53,0,0,1,0,0
"52","32075534692_10155273402674693",1281,68,0,0,0,0
"53","32075534692_10155259996014693",136,8,0,4,0,0
"54","32075534692_10155256582689693",60,4,0,1,0,0
"55","32075534692_10155252530509693",207,3,0,2,0,1
"56","32075534692_10155250091089693",1427,72,0,6,0,0
"57","32075534692_10155249615619693",25,0,0,1,0,0
"58","32075534692_10155247340924693",213,13,0,1,0,0
"59","32075534692_10155242843589693",132,7,0,1,0,0
"60","32075534692_10155233139744693",260,19,0,1,0,0
"61","32075534692_10155233136319693",138,6,0,1,0,0
"62","32075534692_10155233134379693",164,14,0,1,0,0
"63","32075534692_10155232924144693",37,0,0,1,0,0
"64","32075534692_10155230542909693",85,1,0,1,0,0
"65","32075534692_10155227683559693",652,29,0,0,0,0
"66","32075534692_10155224569344693",468,40,0,2,0,0
"67","32075534692_10155211603604693",86,3,0,1,0,0
"68","32075534692_10155211581434693",113,8,0,1,0,0
"69","32075534692_10155211554489693",91,8,0,0,0,0
"70","32075534692_10155208209974693",65,2,0,0,0,0
"71","32075534692_10155205290119693",1138,72,0,2,0,0
"72","32075534692_10155202979049693",67,3,0,1,0,0
"73","32075534692_10155200133759693",298,21,0,3,0,0
"74","32075534692_10155190532914693",407,67,0,5,0,0
"75","32075534692_10155190524314693",81,8,0,1,0,0
"76","32075534692_10155190530974693",130,9,0,1,0,0
"77","32075534692_10155187917939693",212,10,0,0,0,0
"78","32075534692_10155182830909693",657,21,0,1,0,0
"79","32075534692_10155180609464693",276,16,0,0,0,0
"80","32075534692_10155177633444693",458,42,0,0,0,0
"81","32075534692_10155167584609693",73,5,0,0,0,0
"82","32075534692_10155167582269693",331,25,0,0,0,0
"83","32075534692_10155167774344693",139,4,0,0,0,0
"84","32075534692_10155164827579693",357,19,0,2,0,0
"85","32075534692_10155161756724693",58,4,0,0,0,0
"86","32075534692_10155161221904693",847,33,0,0,0,0
"87","32075534692_10155158786134693",115,4,0,0,0,0
"88","32075534692_10155156094279693",345,29,0,1,0,0
