"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"18","32075534692","Oasis Fashion","Take a ladylike dress, add some pretty petals and you've got a floral dress that will really pack some punch this summer. http://www.oasis-stores.com/gb/collections/have-to-haves/ava-embroidered-dress/062949.html","2017-07-22T07:45:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155405049639693/?type=3","32075534692_10155405049639693",NA,351,11,5
"19","32075534692","Oasis Fashion","That's right, something WILD is coming...","2017-07-21T07:37:00+0000","video","https://www.facebook.com/oasisfashions/videos/10155401272699693/","32075534692_10155401272699693",NA,96,1,12
"20","32075534692","Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS flattering floral cami or THAT stripe tie tee and you could WIN IT.","2017-07-19T09:35:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155397930069693/?type=3","32075534692_10155397930069693",NA,812,1110,144
"21","32075534692","Oasis Fashion","Say hello to the flower-filled skater that’ll brighten every single weekend. http://www.oasis-stores.com/gb/clothing/dresses/utility-rose-tea-dress/063047.html","2017-07-18T12:01:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155394455419693/?type=3","32075534692_10155394455419693",NA,171,5,3
"22","32075534692","Oasis Fashion","Introducing our blooming beautiful duo... http://www.oasis-stores.com/gb/collections/utility-bloom/","2017-07-17T15:00:06+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155391621244693/?type=3","32075534692_10155391621244693",NA,325,12,4
"23","32075534692","Oasis Fashion","Introducing the all (year) rounders. Build the perfect wardrobe with our edit of ‘have-to-have’ essentials. http://www.oasis-stores.com/gb/collections/have-to-haves/","2017-07-16T08:14:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155378967409693/?type=3","32075534692_10155378967409693",NA,192,3,4
"24","32075534692","Oasis Fashion","Make like the gorgeous Malena and add a brush of blossom to your summer wardrobe. http://www.oasis-stores.com/gb/collections/utility-bloom/rose-halter-bardot/062558.html","2017-07-15T07:37:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155378873609693/?type=3","32075534692_10155378873609693",NA,156,6,4
"25","32075534692","Oasis Fashion","Bloom into summer with romantic roses, luxe lace and tip-top tailoring. http://www.oasis-stores.com/gb/collections/utility-bloom/","2017-07-13T16:05:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155376295374693/?type=3","32075534692_10155376295374693",NA,327,12,7
"26","32075534692","Oasis Fashion","Piping hot prices from the Feelgood Foundry, now that's a SALE! http://www.oasis-stores.com/gb/all-sale/","2017-07-12T19:00:09+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155373306824693/?type=3","32075534692_10155373306824693",NA,140,12,3
"27","32075534692","Oasis Fashion","Beautiful butterflies adorn these pretty pieces, but which one floats your boat? Tell us if you prefer THIS dress or THAT top and you could WIN IT.","2017-07-12T09:20:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155371785264693/?type=3","32075534692_10155371785264693",NA,1295,1767,204
"28","32075534692","Oasis Fashion","With these pretty petals, you're set to be sweet on this one for seasons to come! http://www.oasis-stores.com/gb/clothing/dresses/long-utility-rose-tea-dress/063048.html","2017-07-10T07:51:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155355605339693/?type=3","32075534692_10155355605339693",NA,135,6,2
"29","32075534692","Oasis Fashion","It’s the new flamingo, except more subtle and sophisticated. Make like our fine feathered friends and find your swan true love this summer. http://www.oasis-stores.com/gb/clothing/dresses/stripe-swan-bardot-dress/0632766106.html","2017-07-09T12:26:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155348185644693/?type=3","32075534692_10155348185644693",NA,118,5,2
"30","32075534692","Oasis Fashion","Florals + frills = the perfect pair. http://www.oasis-stores.com/gb/clothing/dresses/ditsy-sundress/0622395806.html","2017-07-09T07:45:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155355573119693/?type=3","32075534692_10155355573119693",NA,97,2,3
"31","32075534692","Oasis Fashion","Designed with beach days in mind... Nab yours now for LESS! http://www.oasis-stores.com/gb/sale/swimwear/botanical-orchid-jumpsuit/0616150301.html","2017-07-08T07:55:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155348184454693/?type=3","32075534692_10155348184454693",NA,98,3,3
"32","32075534692","Oasis Fashion","Give your wardrobe a sunny day update with gleaming tennis whites, inspired by Wimbledon http://www.oasis-stores.com/gb/collections/wimbledon-whites/","2017-07-06T07:45:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155350762059693/?type=3","32075534692_10155350762059693",NA,182,0,3
"33","32075534692","Oasis Fashion","Tennis anyone? This week we're inspired by Wimbledon and its gleaming tennis whites. Tell us if you prefer THIS lace mini or THAT long sleeve bardot and you could WIN IT.","2017-07-05T09:00:04+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155347385299693/?type=3","32075534692_10155347385299693",NA,786,1156,121
"34","32075534692","Oasis Fashion","What are you waiting for? Shop to it... http://www.oasis-stores.com/gb/all-sale/","2017-07-04T13:00:15+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155344268224693/?type=3","32075534692_10155344268224693",NA,71,4,6
"35","32075534692","Oasis Fashion","Just the refresh your casual wardrobe has been waiting for... http://www.oasis-stores.com/gb/clothing/jumpsuits-playsuits/ditsy-tie-front-playsuit/062245.html","2017-07-03T16:20:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155340851634693/?type=3","32075534692_10155340851634693",NA,127,5,1
"36","32075534692","Oasis Fashion","SUN'S OUT, FUN'S IN! Meet our Oasis dream team and discover (steal) their sunny day style. www.oasis-stores.com/gb/sunday-girl-summer.html","2017-07-02T10:30:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155328327089693/?type=3","32075534692_10155328327089693",NA,87,0,1
"37","32075534692","Oasis Fashion","Saturday styling at Oasis, Tottenham Court Road. http://www.oasis-stores.com/gb/new-in/","2017-07-01T07:50:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155328313379693/?type=3","32075534692_10155328313379693",NA,230,8,4
"38","32075534692","Oasis Fashion","That’s right, we have TWO £500 Oasis vouchers up for grabs, plus FIVE runner-up prizes courtesy of Hawaiian Tropic Silk Hydration Suncare. For your chance to win, COMMENT where you’re heading this summer and what you’ll be wearing THEN SHARE!","2017-06-30T13:00:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155328077389693/?type=3","32075534692_10155328077389693",NA,1617,2001,1379
"39","32075534692","Oasis Fashion","Stylish summer days with blogger Rasa and our pretty trim playsuit. http://www.oasis-stores.com/gb/clothing/jumpsuits-playsuits/viscose-trim-playsuit/0620252906.html","2017-06-29T16:01:43+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155324928369693/?type=3","32075534692_10155324928369693",NA,57,1,0
"40","32075534692","Oasis Fashion","It's time to brighten up your wardrobe! Tell us if you prefer THIS lemon mini or THAT beautiful blue shift and you could WIN IT.","2017-06-28T09:10:19+0000","video","https://www.facebook.com/oasisfashions/videos/10155319811024693/","32075534692_10155319811024693",NA,859,1292,142
