"","id","likes_count","love_count","haha_count","wow_count","sad_count","angry_count"
"1","94971738769_10155520281458770",1568,51,0,7,1,0
"2","94971738769_10155501772278770",2846,82,0,14,0,0
"3","94971738769_10155449760713770",198,9,0,0,0,0
"4","94971738769_10155471701858770",70,6,0,1,0,3
"5","94971738769_10155418712173770",160,3,2,0,0,0
"6","94971738769_10155370949528770",2298,50,0,5,0,1
"7","94971738769_10155370884138770",56,1,0,0,0,0
"8","94971738769_10155350744693770",2376,93,0,10,0,0
"9","94971738769_10155303145543770",125,0,0,0,0,0
"10","94971738769_10155242264023770",1865,54,0,3,0,0
